Method,Type,AUROC,AUPRC,F1,MCC,Sensitivity,Specificity,Threshold
miRBind_Klimentova2022,DL,0.7649301525897271,0.7963979144563148,0.6947608200455581,0.4599389207658547,0.6161616161616161,0.8340425531914893,0.16716457903385162
miRNA_CNN_Hejret2023,CNN,0.7613539651837524,0.7726016668227564,0.7138397502601457,0.4313347110787014,0.692929292929293,0.7382978723404255,0.6428343653678894
InteractionAwareModel_Yang2024,DL+Attn,0.7510143993122715,0.7414388353423875,0.7298311444652908,0.40536794012617566,0.7858585858585858,0.6127659574468085,0.14675332605838776
RNACofold,Thermodynamic,0.7454502471523746,0.7393854383085856,0.7033898305084746,0.4226492668903751,0.6707070707070707,0.7510638297872341,20.200000762939453
Ours (RNA-FM),DL+LM,0.6951923490221362,0.7260019042304424,0.6498277841561424,0.3831698589602522,0.5717171717171717,0.8021276595744681,0.33038854598999023
TargetScanCnn_McGeary2019,CNN,0.668742746615087,0.7109732512524476,0.6060606060606061,0.28184245330168,0.5454545454545454,0.7319148936170212,0.8995330333709717
Seed6merBulgeOrMismatch,Rule,0.6491833225875778,0.608112602452977,0.6626746506986028,0.298651761676931,0.6707070707070707,0.6276595744680851,1.0
Seed6mer,Rule,0.6266709649688373,0.6165476213466017,0.4604105571847507,0.3203671673872816,0.31717171717171716,0.9361702127659575,1.0
TargetNet_Min2021,DL,0.5753771760154739,0.574975066232931,0.5509110396570204,0.13461426946288618,0.5191919191919192,0.6148936170212767,0.5320519208908081
Seed7mer,Rule,0.5733075435203094,0.5779430210588156,0.2773972602739726,0.253269640880391,0.16363636363636364,0.9829787234042553,1.0
CnnMirTarget_Zheng2020,CNN,0.5250053728777133,0.53038927648985,0.4789053591790194,0.0595720029391617,0.42424242424242425,0.6340425531914894,0.9689913988113403
Seed8mer,Rule,0.5120137545669461,0.5231930706023971,0.0547945205479452,0.09405181521289431,0.028282828282828285,0.9957446808510638,1.0
