Method,Type,AUROC,AUPRC,F1,MCC,Sensitivity,Specificity,Threshold
Ours (RNA-FM),DL+LM,0.7511262300629808,0.7849925933403934,0.6624525916561315,0.46845133797541383,0.549266247379455,0.8909853249475891,0.4018518626689911
TargetScanCnn_McGeary2019,CNN,0.7138145027666803,0.7446792651656433,0.6008119079837618,0.4274326518224535,0.46540880503144655,0.9161425576519916,1.3005746603012085
miRBind_Klimentova2022,DL,0.7003986305042433,0.7529666279768799,0.6302083333333334,0.43939392720785814,0.5073375262054507,0.8972746331236897,0.1870439201593399
miRNA_CNN_Hejret2023,CNN,0.6980912323264288,0.739201713943044,0.5906210392902408,0.3440930571101862,0.48846960167714887,0.8343815513626834,0.6304605007171631
Seed6mer,Rule,0.680293501048218,0.6564084645845651,0.5710267229254571,0.41903883144669174,0.42557651991614254,0.9350104821802935,1.0
RNACofold,Thermodynamic,0.6739514523423389,0.6684526832134557,0.6331096196868009,0.3148698650921688,0.5932914046121593,0.7190775681341719,17.200000762939453
Seed6merBulgeOrMismatch,Rule,0.6457023060796646,0.5926678071935245,0.6578947368421053,0.29214771042590504,0.6813417190775681,0.610062893081761,1.0
InteractionAwareModel_Yang2024,DL+Attn,0.6387867041124428,0.6640286992751457,0.5433673469387755,0.2670088358835819,0.44654088050314467,0.8029350104821803,0.32314881682395935
Seed7mer,Rule,0.6362683438155137,0.6234931865828093,0.4552590266875981,0.3647313631351272,0.3039832285115304,0.9685534591194969,1.0
Seed8mer,Rule,0.5251572327044025,0.5241896468311562,0.09940357852882704,0.1545078607873814,0.05241090146750524,0.9979035639412998,1.0
TargetNet_Min2021,DL,0.512796171037538,0.5329985013414905,0.38493723849372385,0.08696565534786727,0.2893081761006289,0.7861635220125787,0.6088861227035522
CnnMirTarget_Zheng2020,CNN,0.5105151431246127,0.5240950205802973,0.44717444717444715,0.05921152297858283,0.38155136268343814,0.6750524109014675,0.9873645901679993
