Method,Type,AUROC,AUPRC,F1,MCC,Sensitivity,Specificity,Threshold
Ours (RNA-FM),DL+LM,0.7524435530689315,0.7947285585487587,0.6470154542135816,0.4292843107357766,0.5369426524574973,0.869800424467998,0.3580518066883087
TargetScanCnn_McGeary2019,CNN,0.7221744296074564,0.7735237108405942,0.606003766535317,0.41191767977846216,0.47595965356239084,0.8994376113913608,1.2891193628311157
Seed6mer,Rule,0.6875642202826915,0.674775578060739,0.5854973207774501,0.4292165444455331,0.43877344928775946,0.9363549912776234,1.0
miRNA_CNN_Hejret2023,CNN,0.6842126863756693,0.7113307262421186,0.6030469242516696,0.2934485049691959,0.5312993786458519,0.7553641041143166,0.5286300778388977
miRBind_Klimentova2022,DL,0.6727955839839216,0.7090397581073944,0.544179607786927,0.29933258927129686,0.42849675066234216,0.8448550574039436,0.1567404717206955
InteractionAwareModel_Yang2024,DL+Attn,0.6713304966489468,0.6920175096112264,0.5870688167896323,0.26695536084565447,0.5154506896674627,0.7449602297417295,0.15057455003261566
Seed6merBulgeOrMismatch,Rule,0.654382864300514,0.6109884137924376,0.6924842399098405,0.31502540008432617,0.7500801938910076,0.5586855347100204,1.0
RNACofold,Thermodynamic,0.6299420748472849,0.627996461847694,0.6057579772223641,0.18788965076324501,0.6056896080597831,0.5822013137095606,14.600000381469727
Seed7mer,Rule,0.623456809689106,0.6261542700416173,0.4162415946427089,0.34731529582778264,0.26806144634137646,0.9788521730368355,1.0
TargetNet_Min2021,DL,0.5559524883702536,0.5722741581939471,0.44066614739809357,0.09646029603787822,0.35287688158629454,0.736351212630757,0.5275840759277344
Seed8mer,Rule,0.5237205264666199,0.535972270847791,0.09794002959695253,0.14208132055574618,0.05169832840289411,0.9957427245303457,1.0
CnnMirTarget_Zheng2020,CNN,0.5138710264705975,0.5250158116512279,0.5110024151643043,0.020341273157434177,0.49771298903422795,0.5226309458582882,0.943574070930481
