Method,APS (CLASH Hejret2023),AUROC (CLASH Hejret2023),APS (eCLIP Klimentova2022),AUROC (eCLIP Klimentova2022),APS (eCLIP Manakov2022),AUROC (eCLIP Manakov2022)
CnnMirTarget_Zheng2020,0.53038927648985,0.5250053728777133,0.5240950205802973,0.5105151431246127,0.5250158116512279,0.5138710264705975
InteractionAwareModel_Yang2024,0.7414388353423875,0.7510143993122715,0.6640286992751457,0.6387867041124428,0.6920175096112264,0.6713304966489468
Ours (RNA-FM),0.7260019042304424,0.6951923490221362,0.7849925933403934,0.7511262300629808,0.7947285585487587,0.7524435530689315
RNACofold,0.7393854383085856,0.7454502471523746,0.6684526832134557,0.6739514523423389,0.627996461847694,0.6299420748472849
Seed6mer,0.6165476213466017,0.6266709649688373,0.6564084645845651,0.680293501048218,0.674775578060739,0.6875642202826915
Seed6merBulgeOrMismatch,0.608112602452977,0.6491833225875778,0.5926678071935245,0.6457023060796646,0.6109884137924376,0.654382864300514
Seed7mer,0.5779430210588156,0.5733075435203094,0.6234931865828093,0.6362683438155137,0.6261542700416173,0.623456809689106
Seed8mer,0.5231930706023971,0.5120137545669461,0.5241896468311562,0.5251572327044025,0.535972270847791,0.5237205264666199
TargetNet_Min2021,0.574975066232931,0.5753771760154739,0.5329985013414905,0.512796171037538,0.5722741581939471,0.5559524883702536
TargetScanCnn_McGeary2019,0.7109732512524476,0.668742746615087,0.7446792651656433,0.7138145027666803,0.7735237108405942,0.7221744296074564
miRBind_Klimentova2022,0.7963979144563148,0.7649301525897271,0.7529666279768799,0.7003986305042433,0.7090397581073944,0.6727955839839216
miRNA_CNN_Hejret2023,0.7726016668227564,0.7613539651837524,0.739201713943044,0.6980912323264288,0.7113307262421186,0.6842126863756693
